trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
162,False,"{'a': 0.5, 'e': 0.19432859888279502}",20,9,20.205360815861162,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.19238531289396707}",30,13,34.390994453840925,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.1904614597650274}",20,9,21.406662791818256,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.1885568451673771}",25,6,25.721804097176687,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.18667127671570335}",25,18,-31.20417368491686,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
167,False,"{'a': 0.5, 'e': 0.1848045639485463}",20,12,17.550142971898005,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.18295651830906084}",25,13,12.812610432696626,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.18112695312597024}",20,10,-2.5630346521736858,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.17931568359471053}",25,12,20.501923232313494,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.17752252675876343}",20,15,9.869375554265979,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.1757473014911758}",20,9,-25.40484215335282,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
173,False,"{'a': 0.5, 'e': 0.17398982847626404}",30,19,-20.765851494370544,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
174,False,"{'a': 0.5, 'e': 0.1722499301915014}",30,16,28.022261438487092,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.17052743088958636}",20,12,3.153084113052898,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.1688221565806905}",25,11,26.272770094092525,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.1671339350148836}",25,10,17.686215643542592,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.16546259566473476}",25,16,17.938998649434588,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.16380796970808742}",25,12,11.565106434674338,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.16216989001100654}",20,15,7.047989167441619,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.16054819111089647}",25,17,15.651647937772877,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.1589427091997875}",20,11,18.780185445038356,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.15735328210778962}",25,12,-11.95103739090236,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
184,False,"{'a': 0.5, 'e': 0.15577974928671173}",35,28,12.410057338231237,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.5, 'e': 0.15422195179384462}",25,13,11.237802972038384,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
186,False,"{'a': 0.5, 'e': 0.15267973227590617}",35,21,26.14350131604811,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.5, 'e': 0.1511529349531471}",25,11,11.4021701777677,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
188,False,"{'a': 0.5, 'e': 0.14964140560361563}",20,16,7.787322218285732,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.5, 'e': 0.14814499154757946}",30,10,35.812685239303036,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.5, 'e': 0.14666354163210368}",20,14,11.282780408157148,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.5, 'e': 0.14519690621578263}",20,6,21.574499808036645,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.5, 'e': 0.1437449371536248}",20,16,5.674170657288979,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.5, 'e': 0.14230748778208857}",35,22,17.56920633574365,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.5, 'e': 0.14088441290426768}",25,6,0.24172151121766627,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
195,False,"{'a': 0.5, 'e': 0.139475568775225}",25,12,13.586839049118062,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
196,False,"{'a': 0.5, 'e': 0.13808081308747275}",20,8,21.772844817859205,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.5, 'e': 0.136700004956598}",20,8,20.108652621855665,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.5, 'e': 0.13533300490703204}",25,13,21.27215223655864,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.5, 'e': 0.13397967485796172}",20,1,3.215295978873313,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
200,False,"{'a': 0.5, 'e': 0.1326398781093821}",20,10,16.474966870863344,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.5, 'e': 0.13131347932828827}",25,14,22.649203299405062,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.5, 'e': 0.1300003445350054}",20,0,1.4936598581299472,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
203,False,"{'a': 0.5, 'e': 0.12870034108965533}",20,11,8.75295215644841,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.5, 'e': 0.1274133376787588}",20,0,6.730623032349952,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
205,False,"{'a': 0.5, 'e': 0.12613920430197118}",20,5,15.62707383743325,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
206,False,"{'a': 0.5, 'e': 0.12487781225895148}",20,10,0.858273811008698,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
207,False,"{'a': 0.5, 'e': 0.12362903413636196}",20,16,7.2287809664869425,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.5, 'e': 0.12239274379499834}",25,16,14.56746387943407,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
